10
0,1,30519
0,2,9873
0,3,41871
0,4,62133
0,5,18097
0,6,3553
0,7,71081
0,8,24441
0,9,25674
1,0,30514
1,2,37381
1,3,69379
1,4,89641
1,5,46205
1,6,30787
1,7,44907
1,8,51949
1,9,8246
2,0,9788
2,1,37362
2,3,33920
2,4,54182
2,5,10687
2,6,11941
2,7,77924
2,8,16490
2,9,32517
3,0,41793
3,1,69367
3,2,33955
3,4,28390
3,5,36317
3,6,43946
3,7,109929
3,8,20521
3,9,64522
4,0,62042
4,1,89616
4,2,54204
4,3,28427
4,5,61822
4,6,64195
4,7,130178
4,8,40770
4,9,84771
5,0,18055
5,1,46175
5,2,10639
5,3,36415
5,4,61802
5,6,20645
5,7,86737
5,8,24110
5,9,41330
6,0,3587
6,1,30680
6,2,11835
6,3,43833
6,4,64095
6,5,20561
6,7,71686
6,8,26403
6,9,25835
7,0,71245
7,1,45148
7,2,78112
7,3,110110
7,4,130372
7,5,86936
7,6,71684
7,8,92680
7,9,50704
8,0,24261
8,1,51835
8,2,16423
8,3,20451
8,4,40713
8,5,24041
8,6,26414
8,7,92397
8,9,46990
9,0,25906
9,1,8300
9,2,32773
9,3,64771
9,4,85033
9,5,41597
9,6,26179
9,7,50630
9,8,47341
